Timestamp,Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,"""ZUx - Cycle time",SKx - Closing force,"""SKs - Clamping force peak value",Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality,Rand
3/18/2022 14:53,106.013,81.09,6.968,3.17,74.8,907.2,923.9,114.8,106.5,146,914.7,8.83,18.74,2,0.986196293
3/18/2022 14:54,105.972,81.066,6.968,3.14,74.81,904.8,921,119.6,107.7,147.6,924.2,8.82,18.75,1,0.651613977
3/18/2022 14:55,106.105,81.983,11.128,2.96,75.61,901.8,917.9,113.6,103.2,146.3,879.9,8.82,18.75,4,0.243802327
3/18/2022 14:56,106.132,81.416,6.084,2.84,75.62,903.3,919.5,117.8,107.3,145.2,927.1,9,18.56,4,0.937775371
3/18/2022 15:35,106.104,81.995,11.128,3.01,75.62,900,917.3,120.5,102.1,145.4,870.6,8.74,18.83,4,0.46019058
3/18/2022 15:36,106.4491022,80.411,7.228,3.18879421,74.82,919.4585055,895.3,113.9,88.9,145.9,930.5,8.8,18.75,1,0.075038406
3/18/2022 15:36,106.114,81.983,11.128,2.88,75.64,901.2,917.3,115.7,105.2,145.2,907.4,8.97,18.6,4,0.832506417
3/18/2022 15:37,106.323,80.617,6.864,3.181149015,74.82,903.1,895.3,120.5,88.9,146.7,917.5,8.59,18.77,1,0.291985006
3/18/2022 15:38,106.1,82.096,11.128,2.92,75.63,903.1,920.3,114.2,104.2,145.9,884.1,8.76,18.8,4,0.439246044
3/18/2022 15:39,106.088,81.968,10.972,2.86,75.65,901.1,918.2,117.8,107.2,146.1,897.2,8.88,18.68,3,0.23095378
3/18/2022 15:40,105.488,80.519,6.864,3.83,74.83,919.1,936.5,107.9,90.2,146.6,895.5,8.77,18.79,1,0.463428141
3/18/2022 15:40,105.734,81.007,6.344,3.66,75.74,894.2,914.9,115.1,101.6,146.9,837.2,8.54,19.03,3,0.574773838
3/18/2022 15:41,106.323,81.362,6.968,3.82,74.83,919.7246799,938.2,120.5,93.1,146.7,933.1,8.8,18.72,1,0.942243542
3/18/2022 15:42,106.095,82.077,11.128,2.96,75.65,900.7,918.2,115.7,105.1,145.9,889.9,8.81,18.76,4,0.841477768
3/18/2022 15:43,106.118,81.964,11.128,2.95,75.67,902.4,917.1,116.3,105.6,145.9,889.7,8.85,18.72,4,0.774116823
3/18/2022 15:43,106.131,81.448,6.084,2.88,75.62,905.3,919.9,122.3,105.7,146.2,920.2,9,18.57,4,0.311734803
3/18/2022 16:11,106.136,82.04,10.972,2.9,75.61,900.7,916.7,114.5,105.8,145.7,908.5,8.87,18.7,3,0.706689094
3/18/2022 16:12,106.002,81.328,6.292,3.27,75.72,890.9,914.4,123.2,108.2,145.1,908.9,8.84,18.73,3,0.118843235
3/18/2022 16:13,105.842,81.033,6.188,3.33,75.72,892.8,915.6,122.3,107.6,146.6,883.2,8.77,18.8,3,0.302321208
3/18/2022 16:14,106.086,82.004,11.18,2.96,75.63,900.5,916.2,121.7,104.2,145.4,889.2,8.86,18.71,4,0.579743148
3/18/2022 16:15,105.925,81.057,6.188,3.31,75.76,892.8,914.5,116.9,105.4,146.1,893.6,8.82,18.75,3,0.043681651
3/18/2022 16:16,106.257,81.328,6.968,3.22,74.8,911,925.4,115.4,106.1,146,914.7,8.86,18.71,2,0.451362305
3/18/2022 16:17,105.505,80.617,7.124,4.08,74.82,908.6,938.2,120.5,107.8,147,923.9,8.85,18.77,1,0.158396742
